,llama_prompt,llama_response,llama_mem,llama_read,mistral_prompt,mistral_response,mistral_mem,mistral_read,original,mem_count_cer0,memorability,readability,words,mistral_coherence_l,llama_coherence_m,mistral_coherence_m,llama_coherence_l,mistral_coherence_g,llama_coherence_g,llama_co_score,mistral_co_score
766,did you know that the futures contract for the German Financial Times has changed hands several times?,FGT has been bought and sold several times.,6,3,Have you heard that the old textile mill on Elm Street has changed hands again?,FGT has been bought and sold several times.,5,2,FGT has been bought and sold several times.,6,mid,4.0,8,medium,high,medium,low,low,medium,2.2,2.4
767,How's the board meeting going?,Board meeting running long.,6,1,Have you finished preparing the financial reports for next quarter?,Board meeting running long.,3,2,Board meeting running long.,9,high,0.0,4,low,low,low,medium,low,medium,1.6,1.0
768,I'm so excited for my summer vacation tomorrow!,Have a great day!,9,1,I appreciate your help with my project,Have a great day!,10,1,Have a great day!,7,high,0.0,4,low,low,low,high,low,low,1.4,1.0
769,I just got a new credit card with a $1200 limit.,You haven't seen 120 in some time.,8,3,Have you finished the report on project X?,You haven't seen 120 in some time.,6,2,You haven't seen 120 in some time.,6,mid,3.0,7,low,low,medium,high,low,low,1.4,1.2
770,Can I get the latest meeting minutes sent to me?,Email me at tcsjws@aol.com.,1,3,"I've found some important information for our project, can you check it out?",Email me at tcsjws@aol.com.,9,1,Email me at tcsjws@aol.com.,6,mid,2.0,4,low,low,low,low,low,low,1.0,1.0
771,who came up with the concept of time zones?,"Lavo called it, never mind though.",6,2,I saw the stock prices plummeting this morning.,"Lavo called it, never mind though.",5,2,"Lavo called it, never mind though.",6,mid,2.0,6,medium,high,low,high,low,low,2.2,2.2
772,We need to finalize our report before meeting with El Paso's team.,When do we review with El Paso?,6,3,We need to finalize the plans for next quarter's business trips.,When do we review with El Paso?,5,2,When do we review with El Paso?,7,high,3.0,7,medium,high,medium,high,medium,high,3.0,2.4
773,What's the most significant pipeline project in North America?,Alaska Highway Pipeline,6,3,Have you heard about the new energy project in Canada?,Alaska Highway Pipeline,7,2,Alaska Highway Pipeline,5,mid,1.0,3,low,high,medium,high,low,high,3.0,2.0
774,Have you ever felt like you're stuck in neutral?,I just had my head in the clouds.,6,2,Have you seen the Northern Lights lately?,I just had my head in the clouds.,3,2,I just had my head in the clouds.,7,high,-2.0,8,low,low,low,high,low,medium,1.8,1.0
775,can you join me for the meeting on Friday?,I will not be able to attend.,6,1,"I'm sorry, but can I confirm if you're coming to the meeting tomorrow?",I will not be able to attend.,8,2,I will not be able to attend.,6,mid,0.0,7,low,low,low,low,high,high,1.8,1.0
776,I think John's new car is really impressive,Would you have John send me a message?,8,2,John mentioned he'd contact you about the project plan,Would you have John send me a message?,8,2,Would you have John send me a message?,7,high,1.0,8,low,low,medium,high,high,low,1.4,1.2
777,We're taking my mom to the doctor tomorrow,"Thanks Dan, we'll look after him.",8,2,I've arranged for a dog-sitter to come by while you're on vacation.,"Thanks Dan, we'll look after him.",10,1,"Thanks Dan, we'll look after him.",6,mid,4.0,6,low,low,low,high,low,low,1.4,1.0
778,Will the weather improve next weekend?,Wonder what next week will bring.,8,1,Have you heard the latest news about the upcoming project?,Wonder what next week will bring.,7,2,Wonder what next week will bring.,6,mid,1.0,6,low,high,medium,high,low,medium,2.6,2.0
779,I'm really excited for the long weekend ahead!,Hope that you have a great TG.,6,1,I heard you got promoted at work.,Hope that you have a great Thursday.,8,2,Hope that you have a great TG.,5,mid,3.0,7,low,high,low,high,low,low,2.2,1.8
780,How was your weekend?,How are things?,8,1,I've just received great news from my doctor.,How are things?,8,2,How are things?,7,high,1.0,3,low,medium,medium,high,low,medium,2.2,1.6
781,Did you remember to pick up the kids from soccer?,I'll call later.,6,2,Do you have the latest project report?,I'll call later.,7,2,I'll call later.,5,mid,1.0,3,low,low,low,low,low,medium,1.4,1.0
782,Did you forget our anniversary?,So you're ignoring me.,6,2,I thought we were going to the movies tonight,So you're ignoring me.,8,2,So you're ignoring me.,6,mid,2.0,4,high,high,low,low,low,low,1.8,2.6
783,I'm feeling unwell today,I think I'm OK.,6,1,"I've been feeling down lately, how are you?",I think I'm OK.,8,2,I think I'm OK.,4,mid,0.0,4,low,medium,medium,low,low,low,1.4,1.6
784,where are they studying for exams?,Where are they hitting the books at?,8,2,I've heard they're studying at the library,Where are they hitting the books at?,9,2,Where are they hitting the books at?,7,high,3.0,7,medium,high,medium,low,medium,high,2.6,2.4
785,"I'm feeling down today, what's your favorite song to lift my mood?",Your voice cheered me up.,8,2,"You look down in the dumps today, care to talk about it?",Your voice cheered me up.,8,2,Your voice cheered me up.,7,high,2.0,5,low,high,low,low,low,low,1.8,1.8
786,Are they going to have the baby?,They're not having the baby then.,8,1,"I saw her at the doctor's office today, she was due any day now.",They're not having the baby then.,8,2,They're not having the baby then.,6,mid,2.0,6,medium,high,low,low,low,medium,2.2,2.2
787,Are you attending the upcoming conference?,Meeting with Alaska Governor Tony Knowles on November 30th.,4,3,Have you arranged any meetings with notable political figures in the near future?,Meeting with Alaska Governor Tony Knowles on November 30th.,5,2,Meeting with Alaska Governor Tony Knowles on November 30th.,0,low,8.0,9,medium,high,medium,high,high,low,2.2,2.4
788,How was your day so far?,How about a call today at 2?,6,1,"I've got a lot on my plate today, would like to discuss some important matters with you.",How about a call today at 2?,8,3,How about a call today at 2?,6,mid,3.0,7,low,low,medium,high,medium,low,1.4,1.2
789,I'm having trouble understanding the terms of service today.,"Today, I understand legal is less comfortable.",6,3,Have you had any experience with complex legal contracts?,"Today, I understand legal is less comfortable.",5,3,"Today, I understand legal is less comfortable.",5,mid,9.0,7,low,low,low,high,low,medium,1.8,1.0
790,Will the US Energy Transition be driven by coal or natural gas?,Coal switching to NG and power guys stimulating demand.,6,2,Have you heard about the shift from coal to natural gas in the power sector?,Coal switching to NG and power guys stimulating demand.,3,2,Coal switching to NG and power guys stimulating demand.,3,low,8.0,9,medium,high,high,low,low,low,1.8,2.6
791,How many deals did the sales team discuss at the meeting?,I think there are three deals.,8,2,Have you seen the latest tech deals on the website?,I think there are three deals.,8,2,I think there are three deals.,6,mid,2.0,6,medium,medium,medium,high,low,medium,2.2,2.0
792,What are your plans for Thanksgiving dinner?,Have a Happy Thanksgiving.,8,1,Let's talk about your favorite Thanksgiving dish,Have a Happy Thanksgiving.,10,2,Have a Happy Thanksgiving.,3,low,2.0,4,low,low,low,low,low,low,1.0,1.0
793,When will the new product launch?,We will keep you posted.,8,1,Have you made a decision about the new project yet?,We will keep you posted.,8,2,We will keep you posted.,8,high,0.0,5,low,low,low,low,low,low,1.0,1.0
794,Are you coming back from the vacation soon?,I am really not wanting to come back.,8,3,Your flight back home has been confirmed.,I am really not wanting to come back.,7,2,I am really not wanting to come back.,6,mid,4.0,8,low,high,medium,high,low,medium,2.6,2.0
795,we're looking for someone in the western states,Do we have anyone in Portland?,8,1,Let's plan our next business trip.,Do we have anyone in Portland?,8,2,Do we have anyone in Portland?,9,high,2.0,6,low,high,medium,high,low,medium,2.6,2.0
796,the boss's favourite coffee shop has been closed due to health issues.,No surprise there.,8,2,John always forgets important deadlines.,No surprise there.,8,2,No surprise there.,8,high,1.0,3,medium,low,low,low,low,low,1.0,1.4
797,Did Lara Robinson mention anything about our project meeting yesterday?,I spoke with Lara Robinson this morning.,6,3,Have you made any progress on the project with Lara Robinson?,I spoke with Lara Robinson this morning.,10,2,I spoke with Lara Robinson this morning.,5,mid,3.0,7,low,medium,medium,high,medium,low,1.8,1.6
798,Why do I always seem to miss the important calls?,Chip Schneider makes that call.,8,2,Who will be the starting pitcher for game 7 of the World Series?,Chip Schneider makes that call.,1,3,Chip Schneider makes that call.,4,mid,2.0,5,low,low,medium,high,low,low,1.4,1.2
799,Can you find the information I need in the Omaha records?,"If not, I can try information in Omaha.",8,2,I need the latest stock prices for Omaha's leading tech companies.,"If not, I can try information in Omaha.",8,2,"If not, I can try information in Omaha.",2,low,8.0,8,low,high,low,high,low,medium,2.6,1.8
800,where is the Smithsonian Museum located?,OK I thought it was in Washington state.,6,2,Did you know that the first national park in the United States is located in Utah?,OK I thought it was in Washington state.,3,2,OK I thought it was in Washington state.,5,mid,4.0,8,low,low,low,low,low,low,1.0,1.0
801,Did you attend the meeting yesterday?,It went well.,6,2,Did the interview go smoothly?,It went well.,8,2,It went well.,7,high,1.0,3,low,medium,medium,high,medium,low,1.8,1.6
802,Can we finalize the merger talks today?,"We are sitting in Weil's offices, waiting to negotiate.",5,2,Let's meet at Weil's offices to discuss the deal terms.,"We are sitting in Weil's offices, waiting to negotiate.",9,1,"We are sitting in Weil's offices, waiting to negotiate.",2,low,8.0,9,low,high,high,high,high,low,2.2,2.2
803,Can you confirm the meeting time for tomorrow?,Will get back to you.,8,1,Can you explain the implications of the latest policy change for our project?,Will get back to you.,8,3,Will get back to you.,6,mid,2.0,5,low,low,low,low,low,low,1.0,1.0
804,How was your trip to the beach yesterday?,Hope you guys are doing fine.,8,2,I've heard the new restaurant down the street is excellent.,Hope you guys are doing fine.,10,2,Hope you guys are doing fine.,8,high,1.0,6,low,medium,medium,low,low,low,1.4,1.6
805,Are you going to call me back after the meeting?,Are you going to call?,8,2,Do you have the meeting details for tomorrow?,Are you going to call?,8,2,Are you going to call?,8,high,2.0,5,low,medium,low,low,low,low,1.4,1.4
806,I just saw the funniest video of you trying to cook dinner!,Did that happen?,9,2,I saw a shooting star last night,Did that happen?,8,2,Did that happen?,9,high,1.0,3,low,high,high,high,low,low,2.2,2.2
807,can you invest $100M in my startup?,$67M within 10 trading days.,4,2,"You just made a large stock market transaction, how long until you see the funds in your account?",$67M within 10 trading days.,3,2,$67M within 10 trading days.,4,mid,4.0,5,low,low,low,high,low,low,1.4,1.0
808,did you attend the meeting today?,I hope you went.,6,1,Did you make it to the meeting on time?,I hope you went.,8,2,I hope you went.,6,mid,0.0,4,low,medium,low,high,low,low,1.8,1.4
809,are you struggling with the new project?,They have to go away and have a think.,8,3,Your constant negativity is bringing down the team morale.,They have to go away and have a think.,5,3,They have to go away and have a think.,7,high,0.0,9,low,low,low,high,low,low,1.4,1.0
810,have you booked the flight for our trip tomorrow?,Has it been mentioned yet?,8,2,Have you heard the latest news about the new company policy?,Has it been mentioned yet?,7,2,Has it been mentioned yet?,6,mid,2.0,5,medium,medium,medium,low,low,low,1.4,2.0
811,Why are we waiting for the project deadline to discuss the plan?,We will address tomorrow with Stan.,6,2,"The project deadline is approaching, have we finalized the budget?",We will address tomorrow with Stan.,5,3,We will address tomorrow with Stan.,5,mid,7.0,6,low,low,low,high,low,medium,1.8,1.0
812,can you help me with my project?,I would be glad to participate.,7,2,I'd like to organize a charity event. Can you help?,I would be glad to participate.,8,1,I would be glad to participate.,8,high,7.0,6,low,high,medium,high,high,low,2.2,2.0
813,Can Rod meet with the team to discuss project progress?,Are Linde and Kim available to assist Rod?,5,2,Rod asked for help with the project. ,Are Linde and Kim available to assist Rod?,9,2,Are Linde and Kim available to assist Rod?,4,mid,3.0,8,low,medium,low,high,high,low,1.8,1.4
814,did you know the world record for most hamburgers eaten is 120?,back at you,4,2,"The weather today is quite unpleasant, isn't it?",Back at you.,10,1,Back at you.,5,mid,1.0,3,low,low,low,high,low,low,1.4,1.0
815,Have you ever woken up in a hospital bed with no memory of who you are?,This is all so unreal.,6,3,Did you really win the lottery?,This is all so unreal.,7,2,This is all so unreal.,7,high,3.0,5,medium,low,low,high,low,low,1.4,1.4
816,can you give me the exact date of your last appointment?,Will give you more shortly.,8,2,Have you finished analyzing the customer feedback reports?,Will give you more shortly.,8,2,Will give you more shortly.,8,high,2.0,5,low,low,low,high,low,low,1.4,1.0
